time,bt_name,move_pow_metric,safety_metric,movement_efficiency,current_lighting,max_speed,obj_det_eff,obj_power,pic_rate,curr_cam_topic,pics_taken
1,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
2,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
3,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.934164,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
4,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.934164,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
5,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.914885,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
6,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.914885,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
7,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.893384,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
8,frog_aal_arch_baseline.xml,-10.0,0.128152,-10.0,0.893384,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
9,frog_aal_arch_baseline.xml,-10.0,0.153279,0.93786,0.867877,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
10,frog_aal_arch_baseline.xml,-10.0,0.153279,0.93786,0.867877,-10.0,"0,1",7053.725098,-10,cam_feednot_available,1.0
11,frog_aal_arch_baseline.xml,-10.0,0.161483,0.997341,0.842245,-10.0,"0,1",7053.725098,-10,cam_feednot_available,1.0
12,frog_aal_arch_baseline.xml,-10.0,0.161483,0.997341,0.842245,-10.0,"0,2",6994.450195,-10,cam_feednot_available,2.0
13,frog_aal_arch_baseline.xml,-10.0,0.107196,0.949664,0.813873,-10.0,"0,3",6935.174805,-10,cam_feednot_available,3.0
14,frog_aal_arch_baseline.xml,-10.0,0.107196,0.949664,0.813873,-10.0,"0,4",6875.899902,-10,cam_feednot_available,4.0
15,frog_aal_arch_baseline.xml,26.82165,0.070357,0.949664,0.782971,-10.0,"0,5",6816.625,-10,cam_feednot_available,5.0
16,frog_aal_arch_baseline.xml,26.82165,0.070357,0.949664,0.782971,-10.0,"0,6",6757.350098,-10,cam_feednot_available,6.0
17,frog_aal_arch_baseline.xml,26.82165,0.079633,0.949664,0.752321,-10.0,"0,6",6757.350098,-10,cam_feednot_available,6.0
18,frog_aal_arch_baseline.xml,26.82165,0.079633,0.949664,0.752321,-10.0,"0,7",6698.075195,-10,cam_feednot_available,7.0
19,frog_aal_arch_baseline.xml,26.82165,0.033684,1.0,0.718836,-10.0,"0,8",6638.799805,-10,cam_feednot_available,8.0
20,frog_aal_arch_baseline.xml,26.82165,0.033684,1.0,0.718836,-10.0,"0,9",6579.524902,-10,cam_feednot_available,9.0
21,frog_aal_arch_baseline.xml,26.82165,0.071473,0.738021,0.683317,-10.0,"0,9",6579.524902,-10,cam_feednot_available,10.0
22,frog_aal_arch_baseline.xml,26.82165,0.071473,0.738021,0.683317,-10.0,"0,9",6579.524902,-10,cam_feednot_available,10.0
23,frog_aal_arch_baseline.xml,19.744066,0.079734,0.738021,0.647722,-10.0,"0,10",6520.25,-10,cam_feednot_available,10.0
24,frog_aal_arch_baseline.xml,19.744066,0.079734,0.738021,0.647722,-10.0,"0,11",6460.975098,-10,cam_feednot_available,11.0
25,frog_aal_arch_baseline.xml,19.744066,0.073877,0.851312,0.611125,-10.0,"0,12",6401.700195,-10,cam_feednot_available,12.0
