time,bt_name,move_pow_metric,safety_metric,movement_efficiency,current_lighting,max_speed,obj_det_eff,obj_power,pic_rate,curr_cam_topic,pics_taken
1,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
2,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
3,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.93784,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
4,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.91932,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
5,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.91932,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
6,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.897177,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
7,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.897177,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
8,frog_aal_arch_internal.xml,-10.0,0.135153,0.940292,0.873903,0.26,-10.0,-10.0,1,/camera/image_noisy,-10.0
9,frog_aal_arch_internal.xml,-10.0,0.135153,0.940292,0.873903,0.26,-10.0,-10.0,1,/camera/image_noisy,-10.0
10,frog_aal_arch_internal.xml,-10.0,0.164358,0.996331,0.847772,0.26,"0,1",7053.725098,1,/camera/image_noisy,1.0
11,frog_aal_arch_internal.xml,-10.0,0.164358,0.996331,0.847772,0.26,"0,1",7053.725098,1,/camera/image_noisy,1.0
12,frog_aal_arch_internal.xml,-10.0,0.112606,0.996941,0.818643,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
13,frog_aal_arch_internal.xml,-10.0,0.112606,0.996941,0.818643,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
14,frog_aal_arch_internal.xml,-10.0,0.095406,0.996941,0.788682,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
15,frog_aal_arch_internal.xml,26.985638,0.095406,0.996941,0.788682,0.26,"0,3",6460.975098,3,/camera/image_noisy,3.0
16,frog_aal_arch_internal.xml,26.985638,0.095406,0.996941,0.756892,0.26,"0,3",6460.975098,3,/camera/image_noisy,3.0
17,frog_aal_arch_internal.xml,26.985638,0.095406,0.996941,0.756892,0.26,"0,3",6460.975098,3,/camera/image_noisy,3.0
18,frog_aal_arch_internal.xml,26.985638,0.095406,0.996941,0.72441,0.26,"0,4",5927.5,3,/camera/image_noisy,4.0
19,frog_aal_arch_internal.xml,26.985638,0.095406,0.996941,0.72441,0.26,"0,4",5927.5,3,/camera/image_noisy,4.0
20,frog_aal_arch_internal.xml,26.985638,0.095406,0.996941,0.690152,0.26,"0,4",5927.5,3,/camera/image_noisy,4.0
21,frog_aal_arch_internal.xml,26.985638,0.095406,0.996941,0.690152,0.26,"0,4",5927.5,3,/camera/image_noisy,4.0
22,frog_aal_arch_internal.xml,26.985638,0.103788,0.996941,0.655283,0.18,"0,5",5394.024902,3,/camera/image_noisy,5.0
23,frog_aal_arch_internal.xml,26.985638,0.103788,0.996941,0.655283,0.18,"0,6",5334.75,1,/camera/image_noisy,6.0
